ranking,player,team,fantPosition,games, fantFantPts , fantPPRpts , fantDKpts , fantFDpts , FFperGame , PPperGame , DKperGame , FDperGame 
233,Julio Jones,TAM,WR,10, 46.0 , 70.4 , 73.4 , 58.4 , 4.6 , 7.0 , 7.3 , 5.8 
234,Zonovan Knight,NYJ,RB,7, 46.0 , 59.0 , 65.0 , 52.5 , 6.6 , 8.4 , 9.3 , 7.5 
235,Dante Pettis,CHI,WR,17, 46.0 , 65.2 , 68.2 , 55.7 , 2.7 , 3.8 , 4.0 , 3.3 
236,Laviska Shenault Jr.,CAR,WR,13, 46.0 , 72.7 , 75.7 , 59.2 , 3.5 , 5.6 , 5.8 , 4.6 
237,Brock Wright,DET,TE,17, 46.0 , 63.6 , 66.6 , 54.6 , 2.7 , 3.7 , 3.9 , 3.2 
238,Tutu Atwell,LAR,WR,13, 45.0 , 63.2 , 66.2 , 54.2 , 3.5 , 4.9 , 5.1 , 4.2 
239,Daniel Bellinger,NYG,TE,12, 45.0 , 75.0 , 79.0 , 60.0 , 3.8 , 6.3 , 6.6 , 5.0 
240,Ben Skowronek,LAR,WR,14, 45.0 , 84.3 , 87.3 , 64.8 , 3.2 , 6.0 , 6.2 , 4.6 
241,Nelson Agholor,NWE,WR,16, 44.0 , 75.2 , 80.2 , 59.7 , 2.8 , 4.7 , 5.0 , 3.7 
242,Ray-Ray McCloud,SFO,WR,17, 44.0 , 58.1 , 61.1 , 51.1 , 2.6 , 3.4 , 3.6 , 3.0 
243,Colby Parkinson,SEA,TE,17, 44.0 , 69.2 , 72.2 , 56.7 , 2.6 , 4.1 , 4.2 , 3.3 
244,Equanimeous St. Brown,CHI,WR,16, 44.0 , 64.7 , 67.7 , 54.2 , 2.8 , 4.0 , 4.2 , 3.4 
245,Tyquan Thornton,NWE,WR,13, 44.0 , 66.3 , 69.3 , 55.3 , 3.4 , 5.1 , 5.3 , 4.3 
246,Justin Watson,KAN,WR,17, 44.0 , 58.5 , 61.5 , 51.0 , 2.6 , 3.4 , 3.6 , 3.0 
247,Jameis Winston,NOR,QB,3, 44.0 , 43.9 , 51.9 , 48.9 , 14.7 , 14.6 , 17.3 , 16.3 
248,Caleb Huntley,ATL,RB,12, 43.0 , 44.9 , 47.9 , 43.9 , 3.6 , 3.7 , 4.0 , 3.7 
249,Hunter Renfrow,LVR,WR,10, 43.0 , 79.0 , 83.0 , 61.0 , 4.3 , 7.9 , 8.3 , 6.1 
250,Jarrett Stidham,LVR,QB,5, 43.0 , 42.6 , 49.6 , 45.6 , 8.6 , 8.5 , 9.9 , 9.1 
251,Noah Gray,KAN,TE,17, 42.0 , 70.0 , 73.0 , 56.0 , 2.5 , 4.1 , 4.3 , 3.3 
252,Elijah Mitchell,SFO,RB,5, 41.0 , 43.6 , 46.6 , 42.1 , 8.2 , 8.7 , 9.3 , 8.4 
253,Boston Scott,PHI,RB,15, 41.0 , 46.2 , 49.2 , 43.7 , 2.7 , 3.1 , 3.3 , 2.9 
254,Kadarius Toney,2TM,WR,9, 41.0 , 57.3 , 61.3 , 49.3 , 4.6 , 6.4 , 6.8 , 5.5 
255,Braxton Berrios,NYJ,WR,17, 40.0 , 57.7 , 60.7 , 48.7 , 2.4 , 3.4 , 3.6 , 2.9 
256,Matt Breida,NYG,RB,17, 40.0 , 59.8 , 65.8 , 49.8 , 2.4 , 3.5 , 3.9 , 2.9 
257,Rex Burkhead,HOU,RB,16, 40.0 , 77.4 , 80.4 , 58.9 , 2.5 , 4.8 , 5.0 , 3.7 
258,Shi Smith,CAR,WR,17, 40.0 , 61.6 , 65.6 , 50.6 , 2.4 , 3.6 , 3.9 , 3.0 
259,Rashod Bateman,BAL,WR,6, 39.0 , 53.5 , 57.5 , 46.0 , 6.5 , 8.9 , 9.6 , 7.7 
260,Damiere Byrd,ATL,WR,14, 39.0 , 51.8 , 54.8 , 45.3 , 2.8 , 3.7 , 3.9 , 3.2 
261,Justin Jackson,DET,RB,16, 39.0 , 51.1 , 57.1 , 45.1 , 2.4 , 3.2 , 3.6 , 2.8 
262,MyCole Pruitt,ATL,TE,13, 39.0 , 55.0 , 58.0 , 47.0 , 3.0 , 4.2 , 4.5 , 3.6 
263,Desmond Ridder,ATL,QB,4, 39.0 , 38.7 , 43.7 , 38.7 , 9.8 , 9.7 , 10.9 , 9.7 
264,P.J. Walker,CAR,QB,6, 39.0 , 39.1 , 45.1 , 42.1 , 6.5 , 6.5 , 7.5 , 7.0 
265,Bailey Zappe,NWE,QB,4, 39.0 , 39.6 , 48.6 , 42.1 , 9.8 , 9.9 , 12.2 , 10.5 
266,Teddy Bridgewater,MIA,QB,5, 38.0 , 38.0 , 45.0 , 42.0 , 7.6 , 7.6 , 9.0 , 8.4 
267,A.J. Green,ARI,WR,15, 38.0 , 61.6 , 64.6 , 49.6 , 2.5 , 4.1 , 4.3 , 3.3 
268,Logan Thomas,WAS,TE,14, 38.0 , 77.3 , 80.3 , 57.8 , 2.7 , 5.5 , 5.7 , 4.1 
269,Gardner Minshew II,PHI,QB,5, 37.0 , 36.8 , 43.8 , 39.8 , 7.4 , 7.4 , 8.8 , 8.0 
270,Sam Ehlinger,IND,QB,4, 36.0 , 35.6 , 42.6 , 38.6 , 9.0 , 8.9 , 10.7 , 9.7 
271,Mo Alie-Cox,IND,TE,17, 35.0 , 53.9 , 57.9 , 44.4 , 2.1 , 3.2 , 3.4 , 2.6 
272,Kyle Juszczyk,SFO,RB,16, 35.0 , 53.6 , 56.6 , 44.1 , 2.2 , 3.4 , 3.5 , 2.8 
273,Jarvis Landry,NOR,WR,9, 35.0 , 60.2 , 63.2 , 47.7 , 3.9 , 6.7 , 7.0 , 5.3 
274,Michael Thomas,NOR,WR,3, 35.0 , 51.1 , 54.1 , 43.1 , 11.7 , 17.0 , 18.0 , 14.4 
275,C.J. Uzomah,NYJ,TE,15, 35.0 , 56.2 , 59.2 , 45.7 , 2.3 , 3.7 , 3.9 , 3.0 
276,Mark Ingram,NOR,RB,10, 34.0 , 50.1 , 55.1 , 42.1 , 3.4 , 5.0 , 5.5 , 4.2 
277,Tre'Quan Smith,NOR,WR,15, 34.0 , 52.8 , 55.8 , 43.3 , 2.3 , 3.5 , 3.7 , 2.9 
278,Raheem Blackshear,CAR,RB,13, 33.0 , 43.0 , 44.0 , 38.0 , 2.5 , 3.3 , 3.4 , 2.9 
279,Trey McBride,ARI,TE,16, 33.0 , 61.5 , 64.5 , 47.0 , 2.1 , 3.8 , 4.0 , 2.9 
280,Colt McCoy,ARI,QB,4, 33.0 , 32.8 , 38.8 , 35.8 , 8.3 , 8.2 , 9.7 , 9.0 
281,Tommy Tremble,CAR,TE,17, 33.0 , 52.4 , 56.4 , 42.9 , 1.9 , 3.1 , 3.3 , 2.5 
282,Robbie Anderson,2TM,WR,16, 32.0 , 52.2 , 56.2 , 42.2 , 2.0 , 3.3 , 3.5 , 2.6 
283,Phillip Dorsett,HOU,WR,15, 32.0 , 51.7 , 54.7 , 41.7 , 2.1 , 3.4 , 3.6 , 2.8 
284,Kendall Hinton,DEN,WR,12, 32.0 , 56.4 , 59.4 , 44.4 , 2.7 , 4.7 , 5.0 , 3.7 
285,Jordan Mason,SFO,RB,16, 32.0 , 31.8 , 34.8 , 31.8 , 2.0 , 2.0 , 2.2 , 2.0 
286,Harrison Bryant,CLE,TE,17, 31.0 , 61.7 , 64.7 , 46.2 , 1.8 , 3.6 , 3.8 , 2.7 
287,Ty Johnson,NYJ,RB,17, 31.0 , 42.8 , 45.8 , 36.8 , 1.8 , 2.5 , 2.7 , 2.2 
288,Sammy Watkins,2TM,WR,12, 31.0 , 46.5 , 50.5 , 38.5 , 2.6 , 3.9 , 4.2 , 3.2 
289,Kylen Granson,IND,TE,13, 30.0 , 61.2 , 64.2 , 45.7 , 2.3 , 4.7 , 4.9 , 3.5 
290,Justice Hill,BAL,RB,15, 30.0 , 42.0 , 46.0 , 36.0 , 2.0 , 2.8 , 3.1 , 2.4 
291,Marlon Mack,2TM,RB,8, 30.0 , 38.3 , 38.3 , 34.3 , 3.8 , 4.8 , 4.8 , 4.3 
292,Irv Smith Jr.,MIN,TE,8, 30.0 , 55.2 , 58.2 , 42.7 , 3.8 , 6.9 , 7.3 , 5.3 
293,Shane Zylstra,DET,TE,13, 30.0 , 41.0 , 41.0 , 35.5 , 2.3 , 3.2 , 3.2 , 2.7 
294,Ameer Abdullah,LVR,RB,17, 29.0 , 54.1 , 57.1 , 41.6 , 1.7 , 3.2 , 3.4 , 2.4 
295,DeeJay Dallas,SEA,RB,15, 29.0 , 46.2 , 53.2 , 38.7 , 1.9 , 3.1 , 3.5 , 2.6 
296,Jake Ferguson,DAL,TE,16, 29.0 , 48.4 , 51.4 , 38.9 , 1.8 , 3.0 , 3.2 , 2.4 
297,Peyton Hendershot,DAL,TE,17, 29.0 , 39.5 , 42.5 , 34.0 , 1.7 , 2.3 , 2.5 , 2.0 
298,J.D. McKissic,WAS,RB,8, 29.0 , 55.8 , 58.8 , 42.3 , 3.6 , 7.0 , 7.4 , 5.3 
299,Dare Ogunbowale,HOU,RB,17, 29.0 , 48.7 , 54.7 , 38.7 , 1.7 , 2.9 , 3.2 , 2.3 
300,Wan'Dale Robinson,NYG,WR,6, 29.0 , 51.6 , 54.6 , 40.1 , 4.8 , 8.6 , 9.1 , 6.7 
301,Dyami Brown,WAS,WR,15, 28.0 , 32.8 , 35.8 , 30.3 , 1.9 , 2.2 , 2.4 , 2.0 
302,Malik Davis,DAL,RB,12, 28.0 , 34.4 , 37.4 , 31.4 , 2.3 , 2.9 , 3.1 , 2.6 
303,Ashton Dulin,IND,WR,12, 28.0 , 42.5 , 45.5 , 35.0 , 2.3 , 3.5 , 3.8 , 2.9 
304,KhaDarel Hodge,ATL,WR,17, 28.0 , 41.2 , 44.2 , 34.7 , 1.6 , 2.4 , 2.6 , 2.0 
305,Travis Homer,SEA,RB,10, 27.0 , 43.1 , 47.1 , 35.1 , 2.7 , 4.3 , 4.7 , 3.5 
306,O.J. Howard,HOU,TE,13, 27.0 , 36.5 , 39.5 , 31.5 , 2.1 , 2.8 , 3.0 , 2.4 
307,Velus Jones Jr.,CHI,WR,12, 27.0 , 34.0 , 43.0 , 30.5 , 2.3 , 2.8 , 3.6 , 2.5 
308,Josh Oliver,BAL,TE,17, 27.0 , 40.9 , 43.9 , 33.9 , 1.6 , 2.4 , 2.6 , 2.0 
309,Adam Trautman,NOR,TE,15, 27.0 , 44.7 , 47.7 , 35.7 , 1.8 , 3.0 , 3.2 , 2.4 
310,Byron Pringle,CHI,WR,11, 26.0 , 35.5 , 38.5 , 30.5 , 2.4 , 3.2 , 3.5 , 2.8 
311,Javonte Williams,DEN,RB,4, 26.0 , 42.0 , 46.0 , 34.0 , 6.5 , 10.5 , 11.5 , 8.5 
312,Jonnu Smith,NWE,TE,14, 25.0 , 52.0 , 55.0 , 38.5 , 1.8 , 3.7 , 3.9 , 2.8 
313,Durham Smythe,MIA,TE,16, 25.0 , 40.0 , 43.0 , 32.5 , 1.6 , 2.5 , 2.7 , 2.0 
314,Gary Brightwell,NYG,RB,17, 24.0 , 29.0 , 32.0 , 26.5 , 1.4 , 1.7 , 1.9 , 1.6 
315,Connor Heyward,PIT,TE,17, 24.0 , 35.8 , 38.8 , 29.8 , 1.4 , 2.1 , 2.3 , 1.8 
316,Jalen Nailor,MIN,WR,15, 24.0 , 32.9 , 35.9 , 28.4 , 1.6 , 2.2 , 2.4 , 1.9 
317,Brandon Powell,LAR,WR,17, 24.0 , 47.6 , 50.6 , 35.6 , 1.4 , 2.8 , 3.0 , 2.1 
318,Khalil Shakir,BUF,WR,14, 24.0 , 34.1 , 37.1 , 29.1 , 1.7 , 2.4 , 2.7 , 2.1 
319,Alec Ingold,MIA,RB,17, 23.0 , 38.3 , 41.3 , 30.8 , 1.4 , 2.3 , 2.4 , 1.8 
320,Teagan Quitoriano,HOU,TE,9, 23.0 , 30.3 , 33.3 , 26.8 , 2.6 , 3.4 , 3.7 , 3.0 
321,Amari Rodgers,2TM,WR,16, 23.0 , 39.1 , 44.1 , 31.1 , 1.4 , 2.4 , 2.8 , 1.9 
322,Marquez Callaway,NOR,WR,14, 22.0 , 37.8 , 40.8 , 29.8 , 1.6 , 2.7 , 2.9 , 2.1 
323,River Cracraft,MIA,WR,11, 22.0 , 31.2 , 34.2 , 26.7 , 2.0 , 2.8 , 3.1 , 2.4 
324,Craig Reynolds,DET,RB,9, 22.0 , 30.8 , 36.8 , 26.3 , 2.4 , 3.4 , 4.1 , 2.9 
325,Kyren Williams,LAR,RB,10, 22.0 , 30.5 , 33.5 , 26.0 , 2.2 , 3.1 , 3.4 , 2.6 
326,David Bell,CLE,WR,16, 21.0 , 45.4 , 48.4 , 33.4 , 1.3 , 2.8 , 3.0 , 2.1 
327,Joshua Dobbs,TEN,QB,2, 21.0 , 20.8 , 27.8 , 22.8 , 10.5 , 10.4 , 13.9 , 11.4 
328,Jody Fortson,KAN,TE,13, 21.0 , 29.8 , 33.8 , 25.3 , 1.6 , 2.3 , 2.6 , 1.9 
329,C.J. Ham,MIN,RB,17, 21.0 , 31.3 , 31.3 , 26.3 , 1.2 , 1.8 , 1.8 , 1.5 
330,Marcedes Lewis,GNB,TE,17, 21.0 , 26.6 , 26.6 , 23.6 , 1.2 , 1.6 , 1.6 , 1.4 
331,Skyy Moore,KAN,WR,16, 21.0 , 43.4 , 49.4 , 32.4 , 1.3 , 2.7 , 3.1 , 2.0 
332,Zach Pascal,PHI,WR,17, 21.0 , 36.0 , 39.0 , 28.5 , 1.2 , 2.1 , 2.3 , 1.7 
333,Eric Saubert,DEN,TE,17, 21.0 , 35.8 , 38.8 , 28.3 , 1.2 , 2.1 , 2.3 , 1.7 
334,Sterling Shepard,NYG,WR,3, 21.0 , 34.4 , 37.4 , 27.9 , 7.0 , 11.5 , 12.5 , 9.3 
335,Davis Webb,NYG,QB,1, 21.0 , 20.8 , 20.8 , 20.8 , 21.0 , 20.8 , 20.8 , 20.8 
336,Mike Boone,DEN,RB,9, 20.0 , 28.8 , 31.8 , 24.3 , 2.2 , 3.2 , 3.5 , 2.7 
337,Keelan Cole,LVR,WR,14, 20.0 , 30.1 , 33.1 , 25.1 , 1.4 , 2.2 , 2.4 , 1.8 
338,Johnny Mundt,MIN,TE,17, 20.0 , 39.0 , 42.0 , 29.5 , 1.2 , 2.3 , 2.5 , 1.7 
339,Pierre Strong,NWE,RB,15, 20.0 , 27.2 , 30.2 , 23.7 , 1.3 , 1.8 , 2.0 , 1.6 
340,Ian Thomas,CAR,TE,17, 20.0 , 40.7 , 43.7 , 30.2 , 1.2 , 2.4 , 2.6 , 1.8 
341,Eric Tomlinson,DEN,TE,17, 20.0 , 28.9 , 28.9 , 24.4 , 1.2 , 1.7 , 1.7 , 1.4 
