Symbol,Date,Open,High,Low,Last,Close
TATAMOTORS,5/6/2020,81.55,83.95,80.35,83.7,83.2
TATAMOTORS,5/7/2020,82.9,84.65,82.1,82.55,82.5
TATAMOTORS,5/8/2020,84.5,84.95,80.55,81.2,81.05
TATAMOTORS,5/11/2020,81.45,90.65,81.4,85.85,86.1
TATAMOTORS,5/12/2020,85.95,87.7,83.5,86.45,86.2
TATAMOTORS,5/13/2020,92.5,92.5,86.25,88,87.2
TATAMOTORS,5/14/2020,83.95,85.3,82.55,83.9,83.8
TATAMOTORS,5/15/2020,84.7,85.35,82.8,84.15,84.35
TATAMOTORS,5/18/2020,84.5,84.5,79.6,80.9,80.65
TATAMOTORS,5/19/2020,82.5,85.65,81.5,82.3,81.8
TATAMOTORS,5/20/2020,81.25,84.4,80.7,83.65,83.45
TATAMOTORS,5/21/2020,83.1,85.2,82.9,83.95,84.1
TATAMOTORS,5/22/2020,83.4,83.9,82,83.05,82.8
TATAMOTORS,5/26/2020,83.9,85.7,82.6,83.25,83.1
TATAMOTORS,5/27/2020,84.1,86,84,84.7,84.55
TATAMOTORS,5/28/2020,86,88.15,84.55,87.15,87
TATAMOTORS,5/29/2020,85.55,87.5,84.65,86.7,87
TATAMOTORS,6/1/2020,88.9,91.2,88,89.6,89.55
TATAMOTORS,6/2/2020,90,97.3,89.75,96.15,96.5
TATAMOTORS,6/3/2020,100,101.45,97.4,98.5,98.75
TATAMOTORS,6/4/2020,99,101.4,96.8,98.75,98.5
TATAMOTORS,6/5/2020,100.45,112.45,99.05,111.95,110.75
TATAMOTORS,6/8/2020,114,119.15,113.35,115.65,115.45
TATAMOTORS,6/9/2020,117.45,117.9,110.25,111.25,111.45
TATAMOTORS,6/10/2020,111,113,108.5,112.2,111.4
TATAMOTORS,6/11/2020,109.9,111.15,105,106.1,106.15
TATAMOTORS,6/12/2020,98,106.25,98,104.75,105.3
TATAMOTORS,6/15/2020,104.65,104.65,100.05,100.65,100.5
TATAMOTORS,6/16/2020,102,103.5,92,94.6,94.75
TATAMOTORS,6/17/2020,93,96.4,91.8,95.35,95.4
TATAMOTORS,6/18/2020,95,97.2,94.15,96.5,96.35
TATAMOTORS,6/19/2020,96.5,103.9,95.6,101.9,102.5
TATAMOTORS,6/22/2020,102.35,104.9,101,102.55,102.65
TATAMOTORS,6/23/2020,103,106,101.9,104.4,104.4
TATAMOTORS,6/24/2020,105.25,110.8,104.2,105.15,104.8
TATAMOTORS,6/25/2020,103.85,106.3,101.65,104,103.8
TATAMOTORS,6/26/2020,105.4,106.05,100.35,102,101.4
TATAMOTORS,6/29/2020,101.4,101.4,98.05,99.7,99.45
TATAMOTORS,6/30/2020,101.75,102.3,97.3,98.75,98.25
TATAMOTORS,7/1/2020,99,101.45,98.2,100.5,100.75
TATAMOTORS,7/2/2020,100.75,102.95,100.4,101.65,101.55
